text,humor
"Insanity is hereditary, - You get it from your children.",True
"An honest politician is one who, when bought, stays bought.",True
"You can tune a piano, but you can't tuna fish.",True
A closed mouth gathers no foot.,True
What's black and white and red all over?  An embarassed zebra.,True
What's black and white and red all over?  Certainly not the Halifax newspapers.,True
Gravity doesn't exist: the earth sucks.,True
What's the most popular form of birth control?  The headache.,True
He who laughs last probably doesn't understand the joke.,True
Let him who takes the plunge remember to return it by Tuesday.,True
A Smith and Wesson beats four aces.,True
"Don't worry if you're a kleptomaniac, you can always take something for it.",True
Help the police - beat yourself up.,True
Avoid the christmas chaos - go to church on sundays.,True
"There are two kinds of persons: The one that divide all people in two part, and then the other that don't.",True
"Seen in U.S.S.R:  ""The last person to leave the country is asked to turn the ligths off.""",True
Wanna be realy stoned?  Drink wet cement.,True
Keep death off the roads.  Drive on the pavement.,True
Dead men are simple very cool.,True
Sigarettes are the main reason for statistics.,True
"Advertisment from British Airways:  ""Breakfast in London, Lunch in New-York and luggage in Berlin""",True
Do you know why surgeons use masks? It is to be not recognised again.,True
"Vegetarians eat vegetables,I'm a humanitarian",True
"""Socrates died from an overdose of wedlock.""",True
"A women was in love with fourteen soldiers, it platoonic.",True
"Max told his friend he didn't want to go for a hike in the hills.  ""I'm an anti-climb Max.""",True
A new wagon designed for LA rush hour traffic is called the Stationary wagon.,True
"An Uncle died, left several hundred clocks to a niece, she's busy winding up the estate.",True
"Two cheerleaders ended up married, they met by chants.",True
" Two cans of paint got married, later the bride whispered, ""Darling, I think I'm pigment.""",True
Two boy silkworms pursued a luscious girl silkworm. They ended up in a tie.,True
"A doctor told the boy, ""This injection won't hurt a bit.""  That's an MD promise.",True
Advice to ice skaters: You can't always tell a brook by its cover.,True
"A guru hops around often, he's known as the Kan Guru.",True
"A hermit was arrested after driving a hundred miles an hour, the charge was recluse driving.",True
What do they call a man who builds twenty boats a month? Sir Launchalot.,True
"WHY DO MORONS ONLY GO TO MOVIES IN GROUPS OF 17 OR MORE? BECAUSE THE SIGN OUTSIDE STATES "" UNDER SEVENTEEN NOT ADMITED! """,True
Did you hear about the Scottish Kamikaze pilot? He crashed his plane in his brother's junkyard.,True
What do 32 Iraqi women in one place have? A full set of teeth!,True
"HOW DO YOU CLEAR OUT AND IRAQI BINGO HALL? CALL OUT ""B-52"".",True
DID YOU HEAR ABOUT THE NEW BAGHDAD ROCK GROUP? NO KIDS ON THE BLOCK.,True
Did you hear the one about the lion who ate the lawyer? Had to lick his butt afterwards to get rid of the taste!,True
Did you hear which major department store is considering opening a couple of stores in Iraq? TARGET!,True
DID YOU HEAR FRANCE HAS A NEW NATIONAL FLAG? It is white with a white stripe and a white star!,True
What's the difference between a Canadian Hockey player and an Iraqi woman? The Hockey player takes a shower after three periods.,True
What do a vaccuum cleaner and an Iraqi Tank have in common? They both suck.,True
What do you call an Iraqi with a sheep under one arm and a goat underthe other? Bisexual.,True
What do you call an Iraqi with a sheep under each arm? A pimp.,True
What do you call an Iraqi who has sex with donkeys? Normal.,True
"What did the aspiring Zen Buddhist say to the hot dog vendor?  ""Make me one with everything.""",True
Who is the smallest man mentioned in the New Testament? Peter. (He slept on his watch),True
When is the first time motorcycles are mentioned in the bible? When David's Triumph was heard throughout the land.,True
Neutrinos have bad breadth.,True
Biology grows on you.,True
"What does a Polack use a ""rubber"" for?  Seal-a-meal",True
- What do you get when you cross a Polack and a Mongoloid with one leg? A Polaroid 1 Step,True
- What is better than 4 roses on a piano? Two lips on an organ,True
- What do you call a truck load of vibrators? Toys for twats,True
- What do you call a herd of masturbating cattle?  Beef Strokenoff,True
- Why does an elephant have 4 feet?  Because 8 inches isn't enough,True
- What do you call 2 gay guys named Bob?  Oral Roberts,True
- What can you use used tampons for?  Tea bags for vampires,True
- How can you tell a Polish woman is on her period?  She's only wearing 1 sock,True
"What do you get when you cross a Mexican with an octopus? I don't know, but it can sure pick lettuce",True
- What do soy beans and dildos have in common?Both are meat subsitutes,True
- What's the difference between chicken and meat?  If you beat your chicken it  would die,True
- How can you tell a Head nurse?  The one with dirty knees,True
- What do you get when you cross a Mexican with an Oriental?  A car thief who can't drive,True
What's worse than getting raped by Jack the Ripper?  Getting fingered by Captain Hook,True
"- Why did the Italian staple his nuts together?  Since he couldn't lick them, he felt he should join them",True
What's invisible and smells like carrots?  Bunny farts,True
Why can't little black kids play in sandboxes?  Cats keep trying to cover them up,True
What do elephants use for a tampon?  Sheep,True
Why don't Mexicans barbeque?  Because the beans slip through the grill,True
What do you call a one-legged woman? Ilene.,True
Why did the Aggie spend all night in front of the house of ill repute? He was waiting for the red light to turn green.,True
The only computers I trust with my women are Unix.,True
Why were Helen Keller's fingers purple?She heard it through the grapevine.,True
What is the difference between ooooh and aaaah?About three inches.,True
What is the difference between a dog and a fox?About three drinks.,True
What do you do with an elephant that has three balls? Walk him and pitch to the giraffe.,True
What are the three most difficult years for an Aggie? Second grade.,True
Did you hear about the Aggie car pool? They all meet at work.,True
Why were the Aggies pushing their house down the street? They were trying to jump-start the furnace.,True
"Did you hear the Aggies bought a thousand septic tanks?As soon as they learn to drive them, they'll invade Mexico.",True
What did the leper say to the prostitute? Keep the tip.,True
Did you hear about the Republican Fried Chicken fast food restaurant? All they serve are right wings and a**holes.,True
What is the difference between a rooster and a lawyer? The rooster clucks defiance.,True
What do you get when you cross a a rooster and a hoot owl? A cock that stays up all night.,True
Why did they kick the leper out of the restaurant? They had to keep changing the finger bowls.,True
What is the difference between a tribe of sly aborigines and a female track team? The first is a pack of cunning runts.,True
Why are there more Democrats than Republicans? Who wants a piece of elephant!,True
What did the hurricane say to the coconut tree? Hold on to your nuts---this is no ordinary blow job.,True
Did you hear about the prostitute that died and went to heaven? She traded her harp for an upright organ.,True
Why does the Easter Bunny hide his eggs? He doesn't want the world to know he's been making out with chickens.,True
What do you get when you cross a rooster with a telephone pole? A 40-foot cock that wants to reach out and touch someone.,True
Why don't midgets use tampons? They trip over the strings.,True
Did you hear about the elephant with diarrhea? It's all over town.,True
What do you call a leper in a hot tub? Soup.,True
Did you know production costs in the dairy business are high? A lot of expenses are in curd.,True
Watch out for lamp manufacturers. There are a lot of shady characters.,True
Did you hear about the guy who went bankrupt in the laundry business? He says he's all washed up.,True
What do you call a cow with only three legs? Lean beef.,True
What do you call a cow with no legs? Ground beef.,True
"What did the elephant say to the naked man? ""Can you breathe through that?""",True
Lawyers sometimes tell the truth. They'll do anything to win a case.,True
What do you call a row of rabbits that takes a step backwards? A receding hare-line.,True
What do you get when you pour scalding water down a rabbit hole? Hot cross bunnies.,True
What do you have when rabbits climb out of their hole? A hare-raising sight.,True
"What did the topless dancer say when chastised about her profession? ""It's better than being flat busted!""",True
"When I fly on a jet, my ears pop a lot, it's an earry feeling.",True
Some parents believe that spanking a child is an important part of rearing a child.,True
Twins might best be described as womb-mates.,True
Did you hear the elephants at the circus are going on strike? They're tired of working for peanuts.,True
"Did you hear about the fight in the lion house at the zoo? A lion called another a cheetah.  Personally, I think he was lion.",True
How do you keep an elephant from charging? Take away his credit card.,True
Did you hear about the animal hotel that has exclusive accommodations for squirrels? It's called The Nutcracker Suite.,True
"What is the most vulnerable animal in the world? The frog.  When you touch it, it croaks. Put another way, one touch and it's toadalled.",True
Did you hear they are looking for someone to be in charge of potato snacks in the monastery? The job description will be:  Chipmonk.,True
Did you hear about the House-Senate conference committe considering legislation to decriminalize the use of marijuana? It's called the Joint Session of Congress.,True
What is the opposite of progress? Congress.,True
How can Congress trim the fat from Federal spending? By switching to lo-cal government.,True
The state of Missouri has vigorously tried to get some of the other states bordering on the Mississippi River to join in an urgently needed flood control project. This is because Missouri loves company.,True
The 200th anniversary of the founding of the buffalo sanctuaries will be marked by a Bisontennial celebration.,True
The Hawaiian Islands have many craters that were formed by volcanoes. You might say that the islands are full of ash holes.,True
"Several years ago I came up with the idea of writing a play about the movement to eliminate pay toilets. I've been sitting on the idea for a number of years, but I feel I can stall no longer.",True
Why did God give women vaginas? Because sheep can't cook.,True
Why do mice have tiny balls? Very few know how to dance.,True
What do you get when you cross a kangaroo with a mink. A fur coat with pockets.,True
Why is money green? Because Jews pick it before it is ripe.,True
"What is long, hard, round and full of seamen? A submarine.",True
How do you keep a turkey in suspense? I'll tell you tomorrow.,True
What is the difference between love and Herpes? Herpes is forever.,True
Where do prostitutes go for recycling? The Virgin Islands.,True
What's grey and comes by the gallon? Elephants.,True
What is the difference between an Aggie and a pizza? The pizza doesn't scream when you put it in the oven.,True
How many Jewish mothers does it take to change a lightbulb?None.  They'd rather sit in the dark and suffer.,True
What do you call a gay Jew? A Heblew.,True
How do we know Christ wasn't born in Italy? There are no virgins and they couldn't find three wise men.,True
Did you hear about the Aggies that were arrested in the Iranian zoo? They were trying to free the hostriches.,True
Did you hear about the two blind gay guys? You've got to hand it to them.,True
Why are all Jewish men circumcized? Because Jewish women go crazy over anything 20% off.,True
How many Californians does it take to screw in a lightbulb?None.  They screw in hot tubs.,True
Why don't Baptists screw standing up? They're afraid people might think they're dancing.,True
"What's the difference between erotic and kinky? Erotic, you use a feather.  Kinky, you use the whole chicken.",True
To love oneself is the beginning of a lifelong romance.,True
There's no future in time travel.,True
Entropy isn't what it used to be.,True
Insomnia isn't anything to lose sleep over.,True
"""Criminal Lawyer""  is  redundant.",True
"To you I'm an atheist, to God, I'm the Loyal Opposition.",True
"When I was in school, I cheated on my metaphysics exam. I looked into the soul of the boy sitting next to me.",True
"I have a rock garden.  Last week, three of them died.",True
He who laughs last is generally a bit slow.,True
Rings of Saturn are made entirely of lost airline luggage.,True
Disney World - a people trap operated by a mouse.,True
"Hi, I'm a tagline. When I grow up I'm gonna be a novel!",True
Please reply if you don't get this message.,True
"Circular definition: see definition, circular.",True
All generalizations are false.,True
I'm not as think as you drunk I am.,True
"Change is inevitable, except from a vending machine.",True
Rehab is for quitters.,True
I get enough exercise just pushing my luck.,True
"Sometimes I wake up grumpy, Other times I let him sleep.",True
I took an IQ test and the results were negative.,True
"Where there's a will, I want to be in it.",True
"Few women admit their age,  Fewer men act it.",True
"I don't suffer from insanity, I enjoy every minute of it.",True
IRS: We've got what it takes to take what you've got.,True
"Time is the best teacher, Unfortunately it kills all its students.",True
What's black and white and red all over?  Certainly not the Halifax newspapers.,True
What's the most popular form of birth control?  The headache.,True
A bartender is just a pharmacist with a limited inventory.,True
Give me ambiguity or give me something else.,True
i souport publik edekashun.,True
Beauty is in the eye of the beer holder...,True
How do you make a hormone? Don't pay her. ,True
What lies at the bottom of the sea and whimpers? A nervous wreck.,True
"What are the four words you don't want to hear while making love? ""Honey, I'm home!""",True
"Computer programmers don't byte, they nybble a bit.",True
Drive defensively - buy a tank.,True
"What do dinosaurs have that no other animals have? Baby Dinosaurs. Where does a Tyrannosaurus sit when he comes to stay? Anywhere he wants to.
What did they call prehistoric sailing disasters? Tyrannosaurus wrecks.
Can you name 10 dinosaurs in 10 seconds? Yes, 8 iguanadons and 2 stegasaurus.
What do you call a dinosaur as tall as a house, with long sharp teeth, and 12 claws on each foot? Sir.
What do you call a dinosaur as tall as a house, with long sharp teeth, 12 claws on each foot and a personal stereo over his ears? Anything you like, he won't hear you!
What do you get if you cross a mouse with a triceratops? Enormous holes in the skirting board.
How can you tell if there is a dinosaur in bed with you? By the `D' on his pajamas. How do you know if there is a brachiosaurus in bed with you? By the dinosnores.",True
"A cucumber and a tomato meet in a saladbar. Cucumber: Gee, how come you look so red? Tomato: I saw the salad dressing.",True
A bird in hand is safer than one overhead.,True
A woman without a man is like a fish without a bicycle.,True
I stayed up all night playing poker with tarot cards. I got a full house and four people died.,True
"The brain is a wonderful organ:  it starts working the moment you get up in the morning, and does not stop until you get to school.",True
You'd be paranoid too if everybody hated you.,True
Cole's Law:  Thinly sliced cabbage.,True
I'd give my right arm to be ambidextrous.,True
"Duct tape is like the Force.  It has a light side, and a dark side, and it holds the universe together.",True
"I used to think I was indecisive, but now I'm not so sure.",True
There is so much sand in Northern Africa that if it were spread out it would completely cover the Sahara Desert.,True
It has been said that we only use 15% of our brain. I wonder what we do with the other 75%?,True
