text,humor
A Bad Beginning Makes A Bad Ending,False
A Bad Corn Promise Is Better Than A Good Lawsuit,False
A Bad Workman Quarrels With His Tools,False
A Bargain Is A Bargain,False
A Beggar Can Never Be Bankrupt,False
A Bird In The Hand Is Worth Two In The Bush,False
A Bird May Be Known By Its Song,False
A Black Hen Lays A White Egg,False
A Blind Leader Of The Blind,False
A Blind Man Would Be Glad To See,False
"A Broken Friendship May Be Soldered, But Will Never Be Sound",False
A Burden Of One's Own Choice Is Not Felt,False
A Burnt Child Dreads The Fire,False
A Cat In Gloves Catches No Mice,False
A City That Parleys Is Half Gotten,False
A Civil Denial Is Better Than A Rude Grant,False
A Clean Fast Is Better Than A Dirty Breakfast,False
A Clean Hand Wants No Washing,False
A Clear Conscience Laughs At False Accusations,False
A Close Mouth Catches No Flies,False
A Cock Is Valiant On His Own Dunghill,False
A Cracked Bell Can Never Sound Well,False
A Creaking Door Hangs Long On Its Hinges,False
A Curst Cow Has Short Horns,False
A Danger Foreseen Is Half Avoided,False
A Drop In The Bucket,False
A Drowning Man Will Catch At A Straw,False
A Fair Face May Hide A Foul Heart,False
A Fault Confessed Is Half Redressed,False
A Fly In The Ointment,False
A Fool Always Rushes To The Fore,False
A Fool And His Money Are Soon Parted,False
A Fool At Forty Is A Fool Indeed,False
A Fool May Ask More Questions In An Hour Than A Wise Man Can Answer In Seven Years,False
A Fool May Throw A Stone Into A Well Which A Hundred Wise Men Cannot Pull Out,False
A Fool's Tongue Runs Before His Wit,False
A Forced Kindness Deserves No Thanks,False
A Foul Morn May Turn To A Fair Day,False
A Fox Is Not Taken Twice In The Same Snare,False
A Friend In Need Is A Friend Indeed,False
A Friend Is Never Known Till Needed,False
A Friend To All Is A Friend To None,False
A Friend's Frown Is Better Than A Foe's Smile,False
A Good Anvil Does Not Fear The Hammer,False
A Good Beginning Is Half The Battle,False
A Good Beginning Makes A Good Ending,False
A Good Deed Is Never Lost,False
A Good Dog Deserves A Good Bone,False
A Good Example Is The Best Sermon,False
A Good Face Is A Letter Of Recommendation,False
A Good Jack Makes A Good Jill,False
A Good Marksman May Miss,False
A Good Name Is Better Than Riches,False
A Good Name Is Sooner Lost Than Won,False
A Good Name Keeps Its Lustre In The Dark,False
A Good Wife Makes A Good Husband,False
A Great Dowry Is A Bed Full Of Brambles,False
A Great Fortune Is A Great Slavery,False
A Great Ship Asks Deep Waters,False
A Guilty Conscience Needs No Accuser,False
A Hard Nut To Crack,False
A Heavy Purse Makes A Light Heart,False
A Hedge Between Keeps Friendship Green,False
"A Honey Tongue, A Heart Of Gall",False
A Hungry Belly Has No Ears,False
A Hungry Man Is An Angry Man,False
A Jack Of All Trades Is Master Of None,False
A Joke Never Gains An Enemy But Often Loses A Friend,False
A Lawyer Never Goes To Law Himself,False
A Lazy Sheep Thinks Its Wool Heavy,False
A Liar Is Not Believed When He Speaks The Truth,False
A Lie Begets A Lie,False
A Light Purse Is A Heavy Curse,False
