text,humor
A Bad Beginning Makes A Bad Ending,True
A Bad Corn Promise Is Better Than A Good Lawsuit,True
A Bad Workman Quarrels With His Tools,True
A Bargain Is A Bargain,True
A Beggar Can Never Be Bankrupt,True
A Bird In The Hand Is Worth Two In The Bush,True
A Bird May Be Known By Its Song,True
A Black Hen Lays A White Egg,True
A Blind Leader Of The Blind,True
A Blind Man Would Be Glad To See,True
"A Broken Friendship May Be Soldered, But Will Never Be Sound",True
A Burden Of One's Own Choice Is Not Felt,True
A Burnt Child Dreads The Fire,True
A Cat In Gloves Catches No Mice,True
A City That Parleys Is Half Gotten,True
A Civil Denial Is Better Than A Rude Grant,True
A Clean Fast Is Better Than A Dirty Breakfast,True
A Clean Hand Wants No Washing,True
A Clear Conscience Laughs At False Accusations,True
A Close Mouth Catches No Flies,True
A Cock Is Valiant On His Own Dunghill,True
A Cracked Bell Can Never Sound Well,True
A Creaking Door Hangs Long On Its Hinges,True
A Curst Cow Has Short Horns,True
A Danger Foreseen Is Half Avoided,True
A Drop In The Bucket,True
A Drowning Man Will Catch At A Straw,True
A Fair Face May Hide A Foul Heart,True
A Fault Confessed Is Half Redressed,True
A Fly In The Ointment,True
A Fool Always Rushes To The Fore,True
A Fool And His Money Are Soon Parted,True
A Fool At Forty Is A Fool Indeed,True
A Fool May Ask More Questions In An Hour Than A Wise Man Can Answer In Seven Years,True
A Fool May Throw A Stone Into A Well Which A Hundred Wise Men Cannot Pull Out,True
A Fool's Tongue Runs Before His Wit,True
A Forced Kindness Deserves No Thanks,True
A Foul Morn May Turn To A Fair Day,True
A Fox Is Not Taken Twice In The Same Snare,True
A Friend In Need Is A Friend Indeed,True
A Friend Is Never Known Till Needed,True
A Friend To All Is A Friend To None,True
A Friend's Frown Is Better Than A Foe's Smile,True
A Good Anvil Does Not Fear The Hammer,True
A Good Beginning Is Half The Battle,True
A Good Beginning Makes A Good Ending,True
A Good Deed Is Never Lost,True
A Good Dog Deserves A Good Bone,True
A Good Example Is The Best Sermon,True
A Good Face Is A Letter Of Recommendation,True
A Good Jack Makes A Good Jill,True
A Good Marksman May Miss,True
A Good Name Is Better Than Riches,True
A Good Name Is Sooner Lost Than Won,True
A Good Name Keeps Its Lustre In The Dark,True
A Good Wife Makes A Good Husband,True
A Great Dowry Is A Bed Full Of Brambles,True
A Great Fortune Is A Great Slavery,True
A Great Ship Asks Deep Waters,True
A Guilty Conscience Needs No Accuser,True
A Hard Nut To Crack,True
A Heavy Purse Makes A Light Heart,True
A Hedge Between Keeps Friendship Green,True
"A Honey Tongue, A Heart Of Gall",True
A Hungry Belly Has No Ears,True
A Hungry Man Is An Angry Man,True
A Jack Of All Trades Is Master Of None,True
A Joke Never Gains An Enemy But Often Loses A Friend,True
A Lawyer Never Goes To Law Himself,True
A Lazy Sheep Thinks Its Wool Heavy,True
A Liar Is Not Believed When He Speaks The Truth,True
